YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,SECTOR,INDUSTRY,UT30_NAME,ACCOUNT_TYPE,SIGNINGS_AMT,PRACTICE,DEAL_SIZE,CLIENT_NAME,SIGNINGS_AMT_PY,SIGNINGS_AMT_PPY,COUNTRY,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,MONTH
2023,4,6,Japan,JP Banking & Financial Markets,JP BKFM Other,Computer Services,Digital Product Design and Engineering OA,ENTERPRISE,0.0,Migration & Modernization,<10M,SUMITOMO MITSUI TRUST BANK LIMITED,,,,,Strategy & Technology,Hybrid Cloud & Data,Digital Product Design and Engineering,2
2023,2,13,Japan,JP Industrial,JP Electronics,Electronics,HR and Employee Operations OA,ENTERPRISE,0.0,Talent Operations,<10M,PANASONIC HOLDINGS CORPORATION,,,,,Intelligent Operations,Business Operations,Intelligent HR and Employee Operations,3
2023,1,12,Japan,JP Top,JP Other,Unassigned,Cloud Platform Engineering Services - Other,Unassigned,0.0,Japan Joint Ventures,<10M,TOWA CORPORATION,,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,3
2023,4,11,APAC,ISA,ISA DIST,Digital Squads,AI Integration Services (with Microsoft),Unassigned,0.0,Microsoft,<10M,DEUTSCHE POST DHL,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",3
2023,4,12,Rest of EMEA,DACH,DE IND,Chemical & Petroleum,"AI Integration Services (with IBM, AWS)",FOUNDATION,8677.0,AI & Analytics,<10M,BASF,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",3
2023,1,10,APAC,ISA,ISA DIST,Select BPS-T,SAP CX,ENTERPRISE,40700.0,SAP,<10M,WALMART,,,,,Strategy & Technology,Strategy & Transformation,Sales and Commerce Transformation,3
2023,1,8,Japan,JP Banking & Financial Markets,JP BKFM Other,Digital Squads,IBM AIOps Services OA,FOUNDATION,0.0,DevSecOps & IT Automation,<10M,ZENHOREN,,,,,Intelligent Operations,Application Operations,IBM AIOps Services,2
2023,4,6,Rest of EMEA,NCEE,Finland,Unassigned,Application Operations OA Top,Unassigned,0.0,,<10M,VAISALA CANADA,,,,,Intelligent Operations,Application Operations,Application Operations Top,2
2023,3,8,Americas,US Communications & Industrial,US Communications & Industrial,Automotive,Experience Strategy and Design OA,ENTERPRISE,0.0,,<10M,HONDA MOTOR,,,,,Strategy & Technology,Strategy & Transformation,Experience Strategy and Design,2
2023,4,13,APAC,ASEAN,Singapore DIST,Unassigned,Strategy & Tech Top OA,Unassigned,-1404.0,,<10M,Unassigned,,,,,Strategy & Technology,Strategy & Tech Top,Strategy & Tech Top Offering,3
2023,4,10,APAC,ASEAN,Indonesia,Digital Squads,Data Transformation,Unassigned,0.0,Data Services,<10M,BP PLC,,,,,Strategy & Technology,Hybrid Cloud & Data,"Data Transformation (with IBM, AWS, Microsoft)",3
2023,3,9,Rest of EMEA,SPGI,Spain FSS,Banking,IBM CyberDefend Other,Unassigned,18939.0,CyberDefend,<10M,GRUPO BANESCO,,,,,Intelligent Operations,Cybersecurity,IBM CyberDefend,2
2023,1,12,Japan,JP Industrial,JP Electronics,Electronics,Marketing Transformation OA,ENTERPRISE,95238.0,Customer,<10M,MITSUBISHI ELECTRIC CORPORATION,,,,,Strategy & Technology,Business Applications,Marketing Transformation,3
2023,1,11,Rest of EMEA,NCEE,CEE,Select BPS-T,SAP,Unassigned,0.0,SAP,<10M,BLESSED INVESTMENT SH.P.K.,,,,,Strategy & Technology,Business Applications,Business Transformation with SAP Applications,3
2023,2,3,Americas,US Distribution,US Cpg,Select Client,Source-to-Pay Operations BPO,TARGET ENTERPRISE,10579.0,Finance & Procurement BPO,<10M,THE KRAFT HEINZ COMPANY,,,,,Intelligent Operations,Business Operations,Intelligent Procurement Operations,1
2023,3,7,Americas,US Financial,US Financial,Banking,"AI Integration Services (with IBM, AWS)",Unassigned,0.0,Enterprise Strategy & Industry,<10M,US FEDERAL RESERVE BOARD,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",2
2023,4,9,Rest of EMEA,Italy,Italy Commercial,Select Technology Sales Rep,SAP,FOUNDATION CLUSTER,160149.0,SAP,<10M,HERA,,,,,Strategy & Technology,Business Applications,Business Transformation with SAP Applications,2
2023,1,11,Americas,US Financial,US Financial,Insurance,"AI Integration Services (with IBM, AWS)",ENTERPRISE,0.0,,<10M,STATE FARM,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",3
2023,1,8,Rest of EMEA,NCEE,Defence and Government,Select BPS-T,Data Transformation,PREMIER,0.0,Data Services,<10M,CZECH PUBLIC MEDIA,,,,,Strategy & Technology,Hybrid Cloud & Data,"Data Transformation (with IBM, AWS, Microsoft)",2
