CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,SALES_WEEK_DESCRIPTION
0.0,0.0,0.0,60758.89,0.0,0.0,60758.89,60758.89,489.0,1058.0,0.0,0.0,2023,4,1,CQ,W,Design,<1M,Coverage Select,Select Digital,Americas,Latin America Market,Brazil,Brazil Region,Brazil Select,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,0.0,20252.96,0.0,0.0,20252.96,20252.96,86.0,0.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,Latin America Market,Brazil,Brazil Region,Brazil Select,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,0.0,50000.0,0.0,0.0,50000.0,50000.0,381.0,2903.0,0.0,0.0,2023,4,-1,NQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,Latin America Market,Brazil,Brazil Region,Brazil Strategic,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
0.0,0.0,0.0,50000.0,0.0,0.0,50000.0,50000.0,389.0,842.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,Latin America Market,Brazil,Brazil Region,Brazil Strategic,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,0.0,0.0,0.0,0.0,33333.51,33333.51,0.0,0.0,0.0,0.0,2023,4,-2,NQ+1,W,Engage,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,CA Select - C,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-2
0.0,0.0,0.0,0.0,0.0,0.0,33333.51,33333.51,47.0,0.0,0.0,0.0,2023,4,-1,NQ,W,Engage,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,CA Select - C,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
0.0,0.0,0.0,4761.35,0.0,0.0,4761.35,4761.35,25.0,246.0,0.0,0.0,2023,4,-1,NQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,CA Select - C,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
0.0,0.0,0.0,4761.33,0.0,0.0,4761.33,4761.33,30.0,20.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,CA Select - C,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,0.0,500000.0,0.0,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Canada Enterprise,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-2
0.0,0.0,0.0,1450000.0,0.0,0.0,1450000.0,1450000.0,2718.0,26785.0,0.0,0.0,2023,4,-1,NQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Canada Enterprise,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
0.0,0.0,0.0,1450000.0,0.0,0.0,1450000.0,1450000.0,7880.0,5428.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Canada Enterprise,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,833333.33,833333.33,833333.33,0.0,833333.33,833333.33,42062.0,343214.0,0.0,0.0,2023,4,-1,NQ,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,EMEA,DACH Market,Germany,DACH Region,DE Enterprise,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,SPGI Market,Spain,SPGI Region,ES Select Territory,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-2
0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,352.0,2091.0,0.0,0.0,2023,4,-1,NQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,SPGI Market,Spain,SPGI Region,ES Select Territory,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,168.0,294.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,SPGI Market,Spain,SPGI Region,ES Select Territory,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
