SK_LINE_ITEM,OPPORTUNITY_NUMBER,ACCOUNT_NAME,CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,PWP,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,DATE,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,LINK_TO_ISC,SALES_WEEK_DESCRIPTION,BRANCH,CLOSE_DATE,CLOSE_YEAR,CLOSE_QUARTER,CLOSE_MONTH,CLOSE_WEEK,NEXT_STEP
9281703,0063h00000MFVwiAAH,S.P.A.MICHELIN ITALIANA,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,10000.0,34.0,52.0,0.00348653,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,Italy Market,Italy,Italy Region,Data Platform,AI/ML Ops,AI Tools,watsonx.ai,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFVwiAAH/view,2024Q3W06,IT Select Milano,2024-09-30,2024,3,9,14,
8255345,0063h00000MFY95AAH,CORE-MARK INTERNATIONAL INC,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,150000.0,207.0,0.0,0.00138557,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Engage,<1M,Coverage Select,Select Digital,Americas,Canadian Market,Canada,Canada Region,Storage TPS,Storage for Data Resiliency SW Market,Storage for Data Resiliency SW,Storage Protect for Cloud,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFY95AAH/view,2024Q3W06,CA Select,2024-09-23,2024,3,9,13,
8949622,0063h00000MFYOKAA5,CO-OPERATORS FINANCIAL,0.0,0.0,0.0,78600.0,0.0,0.0,78600.0,78600.0,222.0,281.0,0.0028352,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Design,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,Power Virtual Server,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFYOKAA5/view,2024Q3W06,CA Select - C,2024-09-20,2024,3,9,12,07112024 3rd  meeting tmrw April 11 with KIN to review footprint in Kyndryl DC to be migrated to IBM PowerVS Lunch mtg on March 8th  to revisit Presentation on IBM power VS ready Tony Fiorot to present follow up presentation
8257725,0063h00000MFbstAAD,ASML NETHERLANDS B.V. (NL01),0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,174.0,0.0,0.00349686,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Engage,<1M,Coverage Strategic,Coverage Strategic,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Netherlands Region,Data Platform,Data Fabric,Data Intelligence,Decision Optimization,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFbstAAD/view,2024Q3W06,NL Strategic,2024-09-30,2024,3,9,14,
9186217,0063h00000MFc9AAAT,Liechtensteinische Landesbank,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,55.0,0.0,0.00111975,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Engage,<1M,Coverage Select,Select BPS-T,EMEA,DACH Market,Switzerland,DACH Region,Data Platform,AI/ML Ops,AI Governance,watsonx.governance,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFc9AAAT/view,2024Q3W06,CH Select Territory,2024-09-30,2024,3,9,14,
9188367,0063h00000MFc9AAAT,Liechtensteinische Landesbank,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,109.0,0.0,0.00219425,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Engage,<1M,Coverage Select,Select BPS-T,EMEA,DACH Market,Switzerland,DACH Region,Data Platform,AI/ML Ops,AI Tools,watsonx.ai,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFc9AAAT/view,2024Q3W06,CH Select Territory,2024-09-30,2024,3,9,14,
8257524,0063h00000MFcROAA1,SEB AB,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,277.0,0.0,0.00277563,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Engage,<1M,Coverage Strategic,Coverage Strategic,EMEA,"Northern, Central and Eastern Europe Market",Sweden,North Region Territory,Public Cloud Platform,Public Cloud IaaS,Cloud Native IaaS,VPC Offerings,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFcROAA1/view,2024Q3W06,SE Strategic,2024-09-30,2024,3,9,14,Internal prep  client meeting
8258072,0063h00000MFcexAAD,BC LOTTERY CORPORATION,0.0,0.0,0.0,266666.66,0.0,0.0,266666.66,266666.66,479.0,709.0,0.00179663,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,Canadian Market,Canada,Canada Region,Data Platform,AI/ML Ops,AI Governance,OpenPages,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFcexAAD/view,2024Q3W06,CA Select - C,2024-09-20,2024,3,9,12,
8940718,0063h00000MFdAzAAL,FILMAFFINITY S.L.,0.0,0.0,24000.0,24000.0,24000.0,0.0,24000.0,24000.0,259.0,354.0,0.01079404,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Propose,<1M,Coverage Select,Select Digital,EMEA,SPGI Market,Spain,SPGI Region,Data Platform,AI Productivity,AI Assistants,watsonx Assistant Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFdAzAAL/view,2024Q3W06,ES Select Territory,2024-09-30,2024,3,9,14,Client is not yet convinced with assistants answers  LLM Working closely with CET to improve results Meeting on Sept 1st
8992804,0063h00000MFdAzAAL,FILMAFFINITY S.L.,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Propose,<1M,Coverage Select,Select Digital,EMEA,SPGI Market,Spain,SPGI Region,Data Platform,AI/ML Ops,AI Tools,watsonx.ai,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFdAzAAL/view,2024Q3W06,ES Select Territory,2024-09-30,2024,3,9,14,Client is not yet convinced with assistants answers  LLM Working closely with CET to improve results Meeting on Sept 1st
