YEAR,QUARTER,MONTH,UT15_NAME,UT17_NAME,UT20_NAME,GEOGRAPHY,MARKET,COUNTRY,REGION,REVENUE_BUDGET,COST_BUDGET,EXPENSE_BUDGET,BRANCH
2025,3,7,Automation Platform,Application Development & Integration,B2B Integration,Americas,US Industry Market,US Industry Plan,US Industry Region,4113216.56,0.0,0.0,
2025,2,4,Data Platform,AI Productivity,Business Analytics,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Australia/New Zealand Region,1493436.55,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,Business Analytics,Americas,Canadian Market,Canada Plan,Canada Region,1052148.94,0.0,0.0,
2025,1,1,Data Platform,AI Productivity,Business Analytics,EMEA,France Market,France Plan,France Region,1413948.71,0.0,0.0,
2025,3,7,Data Platform,AI Productivity,Business Analytics,Japan,Japan Market,Japan Plan,Japan Region,695834.25,0.0,0.0,
2025,1,1,Data Platform,AI Productivity,Business Analytics,APAC,Korea Market,Korea Plan,Korea Region,32099.24,0.0,0.0,
2025,3,7,Data Platform,AI Productivity,Business Analytics,APAC,Korea Market,Korea Plan,Korea Region,27077.64,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,Business Analytics,APAC,Korea Market,Korea Plan,Korea Region,25497.19,0.0,0.0,
2025,1,1,Data Platform,AI Productivity,Business Analytics,EMEA,Middle East/Africa Market,Middle East and Africa Plan,Middle East/Africa Top Region,510107.62,0.0,0.0,
2025,3,7,Data Platform,AI Productivity,Business Analytics,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan","Northern, Central and Eastern Europe Top Region",1996767.15,0.0,0.0,
2025,3,7,Data Platform,AI Productivity,Business Analytics,EMEA,SPGI Market,SPGI Top,SPGI Region,449980.65,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,Business Analytics,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,440599.68,0.0,0.0,
2025,1,1,Data Platform,AI Productivity,Business Analytics,EMEA,UKI Market,UK/Ireland Plan,UKI Region,3418504.44,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,Business Analytics,EMEA,UKI Market,UK/Ireland Plan,UKI Region,3432774.16,0.0,0.0,
2025,3,7,Data Platform,Data Fabric,Content Management,APAC,ASEAN Market,Asean Plan,ASEAN Region,11264.64,0.0,0.0,
2025,4,10,Data Platform,Data Fabric,Content Management,APAC,ASEAN Market,Asean Plan,ASEAN Region,12279.32,0.0,0.0,
2025,2,4,Data Platform,Data Fabric,Content Management,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Australia/New Zealand Region,31701.23,0.0,0.0,
2025,3,7,Data Platform,Data Fabric,Content Management,Americas,Canadian Market,Canada Plan,Canada Region,162805.29,0.0,0.0,
2025,1,1,Data Platform,Data Fabric,Content Management,EMEA,DACH Market,DACH Plan,DACH Region,40790.62,0.0,0.0,
2025,1,1,Data Platform,Data Fabric,Content Management,APAC,India/South Asia Market,India & South Asia Plan,India/South Asia Region,2920.87,0.0,0.0,
2025,1,1,Data Platform,Data Fabric,Content Management,Japan,Japan Market,Japan Plan,Japan Region,441657.0,0.0,0.0,
2025,1,1,Data Platform,Data Fabric,Content Management,APAC,Korea Market,Korea Plan,Korea Region,644.21,0.0,0.0,
2025,2,4,Data Platform,Data Fabric,Content Management,APAC,Korea Market,Korea Plan,Korea Region,574.27,0.0,0.0,
2025,3,7,Data Platform,Data Fabric,Content Management,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,442070.81,0.0,0.0,
2025,4,10,Data Platform,Data Fabric,Content Management,EMEA,Middle East/Africa Market,Middle East and Africa Plan,Middle East/Africa Top Region,114323.57,0.0,0.0,
2025,2,4,Data Platform,Data Fabric,Content Management,EMEA,SPGI Market,SPGI Top,SPGI Region,24591.01,0.0,0.0,
2025,3,7,Data Platform,Data Fabric,Content Management,Americas,US Public Market,U.S. Public Plan,US Public Top Account Region,695774.3,0.0,0.0,
2025,3,7,Data Platform,Data Fabric,Content Management,EMEA,UKI Market,UK/Ireland Plan,UKI Region,330169.82,0.0,0.0,
2025,3,7,Data Platform,Data Fabric,Content Management,Americas,US National Market,US National Plan,US Northeast Region,1518557.53,0.0,0.0,
2025,3,7,Data Platform,Data Fabric,Data Integration,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Australia/New Zealand Region,587312.59,0.0,0.0,
2025,4,10,Data Platform,Data Fabric,Data Integration,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Australia/New Zealand Region,681293.09,0.0,0.0,
2025,1,1,Data Platform,AI Productivity,AI Assistants,APAC,Greater China Group Market,Greater China Group Plan,Greater China Group Region,24480.46,0.0,0.0,
2025,2,4,Data Platform,AI Productivity,AI Assistants,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,2552850.99,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,AI Assistants,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,2908836.92,0.0,0.0,
2025,1,1,Data Platform,AI Productivity,AI Assistants,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan","Northern, Central and Eastern Europe Top Region",1024054.78,0.0,0.0,
2025,3,7,Data Platform,AI Productivity,AI Assistants,EMEA,SPGI Market,SPGI Top,SPGI Region,530390.87,0.0,0.0,
2025,2,4,Data Platform,AI Productivity,AI Assistants,Americas,US Financial Service Market,U.S. Financial Plan,US Financial Service Region,2658223.05,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,AI Assistants,Americas,US Financial Service Market,U.S. Financial Plan,US Financial Service Region,3547925.9,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,AI Assistants,Americas,US Top Market,U.S. Other Plan,US Top Region,-2086994.1,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,AI Assistants,EMEA,UKI Market,UK/Ireland Plan,UKI Region,3651098.5,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,EMEA,DACH Market,DACH Plan,DACH Region,114096.26,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,APAC,India/South Asia Market,India & South Asia Plan,India/South Asia Region,18823.25,0.0,0.0,
