CALL_AMT,WON_AMT,UPSIDE_AMT,QUALIFY_PLUS_AMT,PROPOSE_PLUS_AMT,NEGOTIATE_PLUS_AMT,OPEN_PIPELINE_AMT,OPPORTUNITY_VALUE,PPV_AMT,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,WEEK,QUARTER,YEAR,SNAPSHOT_LEVEL,RELATIVE_QUARTER_MNEUMONIC,SALES_STAGE,GEOGRAPHY,MARKET,SECTOR,ACCOUNT_TYPE,GROWTH_PLATFORM,SERVICE_LINE,SERVICE_LINE_AREA,OFFERING,DEAL_SIZE,CLIENT_NAME,IBM_GEN_AI_IND,PARTNER_GEN_AI_IND,SALES_WEEK_DESCRIPTION,UT15_NAME,UT17_NAME,UT20_NAME
0.0,0.0,0.0,0.0,0.0,0.0,0,575595,0,0,0,14,3,2023,W,PQ,Lost,Americas,US Public and Communications,US Public and Communications,ELITE,Business Transformation Services,Customer Transformation,Business Transformation with Salesforce,CT: Service Transformation with Salesforce,small,ABBOTT LABORATORIES,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,150000,0,0,0,1,3,2023,W,CQ,Lost,UKI,UKI Public,UKI HLS (wo DoH),Unassigned,Business Transformation Services,Data & Technology Transformation,"AI Integration Services (with IBM, AWS, Microsoft)",DTT: Microsoft Business Applications - Customer,small,ABBOTT LABORATORIES,0,0,2023Q3W01,,,
100000.0,100000.0,0.0,100000.0,100000.0,100000.0,0,100000,0,0,0,14,3,2023,W,PQ,Won,Americas,US Public and Communications,US Public and Communications,ELITE,Hybrid Cloud Services,Hybrid Cloud Management,IBM AIOps Services,"DevSecOps, AI Ops and Automation",large,ABBOTT LABORATORIES,0,0,2023Q3W14,,,
0.0,0.0,11258.0,11258.0,11258.0,0.0,11258,11258,0,0,0,14,3,2023,W,PQ,Propose,Americas,US Public and Communications,US Public and Communications,ELITE,Hybrid Cloud Services,Hybrid Cloud Transformation,Digital Product Design and Engineering,"OnPrem Application Development, DevOps & Hybrid Integration",small,ABBOTT LABORATORIES,0,0,2023Q3W14,,,
0.0,0.0,0.0,500000.0,0.0,0.0,500000,500000,34559,0,0,1,3,2023,W,CQ,Qualify,Americas,US Public and Communications,US Public and Communications,PREMIER,Business Transformation Services,Data & Technology Transformation,"Data Transformation (with IBM, AWS, Microsoft)",DTT: Data Transformation - Customer,small,ABBVIE,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,3,2023,W,CQ,Lost,Rest of EMEA,SPGI,Spain IND,FOUNDATION,Hybrid Cloud Services,Hybrid Cloud Transformation,"Application Migration and Modernization (not AWS, Microsoft)",App & Data modernization for Distributed Apps,small,ABERTIS,0,0,2023Q3W01,,,
3150000.0,0.0,0.0,3150000.0,3150000.0,3150000.0,3150000,3150000,2961389,0,0,1,3,2023,W,CQ,Closing,Rest of EMEA,France,France DIST,FOUNDATION,Business Transformation Services,Finance & Supply Chain Transformation,Business Transformation with Oracle,FSCT: Enterprise Transformation with Oracle,small,ACCORHOTELS,0,0,2023Q3W01,,,
0.0,0.0,0.0,527000.0,0.0,0.0,527000,527000,64389,0,0,1,3,2023,W,CQ,Qualify,APAC,ANZ,Australia DIST,Unassigned,Business Transformation Services,Finance & Supply Chain Transformation,Supply Chain Transformation,FSCT: Asset Management & Optimization (Red Hat),small,ACEREZ SERVICES PTY LTD,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,53240,0,0,0,1,3,2023,W,CQ,Lost,Rest of EMEA,SPGI,Spain IND,Unassigned,Cybersecurity Services,Cybersecurity,IBM Cyber Threat Management,CSS: X-Force Incident Resp (C&SI) (cloud) 6950-27E,small,ACERINOX,0,0,2023Q3W01,,,
0.0,0.0,0.0,498985.0,0.0,0.0,498985,498985,145264,0,0,1,3,2023,W,CQ,Design,APAC,ISA,ISA IND,PREMIER,Hybrid Cloud Services,Hybrid Cloud Management,Application Management Services for SAP Applications,AMS for Any SAP SaaS or PaaS Solution,small,ADANI GROUP,0,0,2023Q3W01,,,
158133.0,158133.0,0.0,158133.0,158133.0,158133.0,0,158133,0,0,0,14,3,2023,W,PQ,Won,APAC,ISA,ISA IND,PREMIER,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - Cloud,small,ADANI GROUP,0,0,2023Q3W14,,,
0.0,0.0,0.0,60748.0,0.0,0.0,60748,60748,18511,0,0,1,3,2023,W,CQ,Design,APAC,ISA,ISA IND,TARGET PREMIER,Hybrid Cloud Services,Hybrid Cloud Management,IBM AIOps Services,"DevSecOps, AI Ops and Automation",small,ADITYA BIRLA GROUP,0,0,2023Q3W01,,,
0.0,0.0,0.0,150000.0,0.0,0.0,150000,150000,33518,0,0,1,3,2023,W,CQ,Design,Americas,US Communications & Industrial,US Communications & Industrial,TARGET PREMIER,Business Transformation Services,Customer Transformation,Marketing Transformation,CT: Intelligent Marketing Transformation,small,ADOBE SYSTEMS INCORPORATED,0,0,2023Q3W01,,,
5000000.0,0.0,0.0,5000000.0,5000000.0,5000000.0,5000000,5000000,700499,0,5000000,1,3,2023,W,CQ,Negotiate,Rest of EMEA,MEA,Gulf and Levant,Unassigned,Business Transformation Services,Data & Technology Transformation,"Data Transformation (with IBM, AWS, Microsoft)",DTT: Data Transformation - Customer,small,ADVANCED INTEGRATION TECHNOLOGIES,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,20000,0,0,0,14,3,2023,W,PQ,Lost,Americas,US Communications & Industrial,US Communications & Industrial,Unassigned,Cybersecurity Services,Cybersecurity,IBM CyberDefend,(KYN) Cryptography Sec Svcs (Mgd) (cloud) 6950-33S Withdrawn,small,"AECOM MANAGEMENT SERVICES, INC.",0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,32306000,0,0,0,1,3,2023,W,CQ,Lost,Americas,US Communications & Industrial,US Communications & Industrial,Unassigned,Hybrid Cloud Services,Hybrid Cloud Management,Application Management Services for Oracle,AMS for Any Oracle Solutions on No-Cloud,large,"AECOM MANAGEMENT SERVICES, INC.",0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,500000,0,0,0,1,3,2023,W,CQ,Lost,Americas,US Communications & Industrial,US Communications & Industrial,Unassigned,Business Transformation Services,Customer Transformation,Business Transformation with Salesforce,CT: Service Transformation with Salesforce,small,"AECOM MANAGEMENT SERVICES, INC.",0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,1457142,0,0,0,14,3,2023,W,PQ,Lost,Japan,JP Banking & Financial Markets,JP BKFM Other,PREMIER,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - Red Hat - OnPrem,small,AEON,0,0,2023Q3W14,,,
0.0,0.0,445713.0,445713.0,445713.0,445713.0,445713,445713,459056,0,0,1,3,2023,W,CQ,Negotiate,Japan,JP Banking & Financial Markets,JP BKFM Other,PREMIER,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - Red Hat - OnPrem,small,AEON,0,0,2023Q3W01,,,
0.0,0.0,1939045.0,1939045.0,1939045.0,0.0,1939045,1939045,1069559,0,0,1,3,2023,W,CQ,Propose,Japan,JP Distribution,JP Consumer,PREMIER,Hybrid Cloud Services,Hybrid Cloud Transformation,Digital Product Design and Engineering,Cloud native App Dev & Hybrid Integration with Red Hat,small,AEON,0,0,2023Q3W01,,,
