YEAR,QUARTER,BOOKING_STREAMS_SUBCATEGORY_NAME,BOOKING_STREAMS_NAME,GEOGRAPHY_NAME,MARKET_NAME,COUNTRY_NAME,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,TRANSACTIONAL_ADJUSTMENT
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,Latin America Market,Latin America Market Plan,Storage TPS,,,,744526.46
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,Japan,Japan Market,Japan Plan,Storage TPS,,,,-32463.36
2025,2,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,Italy Market,Italy Plan,Power TPS,,,,-1265.48
2025,2,Transactional Adjustments,Transactional Adjustment RedHat Carve-Out,APAC,ASEAN Market,Asean Plan,Data Platform,,,,-2299.86
2025,3,Transactional Adjustments,Transactional Adjustment Base,Americas,Americas Top Countries,Americas Plan,Storage TPS,,,,0.0
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Data Platform,,,,167840.46
2025,3,Transactional Adjustments,Transactional Adjustment Acquisitions,EMEA,EMEA Top Countries,EMEA Plan,Automation Platform,,,,0.0
2025,2,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,UKI Market,UK/Ireland Plan,Data Platform,,,,-161824.82
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Data Platform,,,,-117128.09
2025,2,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,DACH Market,DACH Plan,Storage TPS,,,,-368377.78
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,DACH Market,DACH Plan,Power TPS,,,,5948.98
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,SPGI Market,SPGI Plan,Public Cloud Platform,,,,0.0
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan",Storage TPS,,,,-333541.52
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,India/South Asia Market,India & South Asia Plan,Automation Platform,,,,-251776.67
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,Japan,Japan Market,Japan Plan,Power TPS,,,,-3810.45
2025,1,Transactional Adjustments,Transactional Adjustment Acquisitions,EMEA,Middle East/Africa Market,Middle East and Africa Market Plan,Automation Platform,,,,12610.92
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,France Market,France Plan,Data Platform,,,,259800.64
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,SPGI Market,SPGI Plan,Z TPS,,,,-228.06
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,UKI Market,UK/Ireland Plan,Storage TPS,,,,641029.66
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,EMEA Top Countries,EMEA Plan,Storage TPS,,,,0.0
2025,3,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,DACH Market,DACH Plan,Automation Platform,,,,-670626.19
2025,2,Transactional Adjustments,Transactional Adjustment Base,Americas,US Top Market,U.S. Other Plan,Z TPS,,,,-2827818.5
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,India/South Asia Market,India & South Asia Plan,Z TPS,,,,13349.34
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,DACH Market,DACH Plan,Power TPS,,,,-3675.55
2025,2,Transactional Adjustments,Transactional Adjustment Subscription,Americas,US Top Market,U.S. Variance,Storage TPS,,,,0.0
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan",Public Cloud Platform,,,,-42361.6
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,Americas,US Top Market,U.S. Other Plan,Z TPS,,,,-20000.0
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,EMEA Top Countries,EMEA Plan,Automation Platform,,,,0.0
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,France Market,France Plan,Storage TPS,,,,714489.75
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,DACH Market,DACH Plan,Storage TPS,,,,-254703.22
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,Korea Market,Korea Plan,Automation Platform,,,,-1141377.73
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,Korea Market,Korea Plan,Automation Platform,,,,634.67
2025,3,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),Japan,Japan Market,Japan Plan,Power TPS,,,,-23000.0
2025,2,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),Japan,Japan Market,Japan Plan,Z TPS,,,,-33000.0
2025,3,Transactional Adjustments,Transactional Adjustment Acquisitions,APAC,Korea Market,Korea Plan,Automation Platform,,,,222658.23
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,EMEA Top Countries,EMEA Plan,Data Platform,,,,0.0
2025,2,Transactional Adjustments,Transactional Adjustment Base,Americas,Americas Top Countries,Americas Plan,Data Platform,,,,0.0
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,APAC Top Countries,APAC Plan,Automation Platform,,,,0.0
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,Latin America Market,Latin America Market Plan,Power TPS,,,,26587.5
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,Korea Market,Korea Plan,Data Platform,,,,4497.86
