SK_LINE_ITEM,OPPORTUNITY_NUMBER,ACCOUNT_NAME,CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,PWP,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,DATE,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,LINK_TO_ISC,SALES_WEEK_DESCRIPTION,BRANCH,CLOSE_DATE,CLOSE_YEAR,CLOSE_QUARTER,CLOSE_MONTH,CLOSE_WEEK,NEXT_STEP
7588237,0063h00000DJf1EAAT,AGNICO-EAGLE MINES LTD,0.0,0.0,0.0,0.0,0.0,0.0,116666.67,116666.67,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Engage,<1M,Coverage Select,Select BPS-T,Americas,Canadian Market,Canada,Canada Region,Automation Platform,Technology Business Management,Asset Lifecycle Management,Supply Chain Intelligence Suite Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJf1EAAT/view,2023Q4W-2,CA Select,2023-11-17,2023,4,11,8,2232023  Working with Georges to schedule initial call
8111674,0063h00000DJgV8AAL,Point Lisas Industrial Port,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-10-07 00:00:00,2023,4,1,CQ,W,Negotiate,<1M,Coverage Select,Select Digital,Americas,Canadian Market,Trinidad,Caribbean Region,Automation Platform,Technology Business Management,Asset Lifecycle Management,Maximo Application Suite (SaaS) Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJgV8AAL/view,2023Q4W01,Caribbean Select,2023-11-30,2023,4,11,10,18th Sep  Customer to make the decision on the RFP by 15th OCT
2153426,0063h00000DJgrGAAT,ENGHOUSE SYSTEMS LIMITED,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Select,Select Build/Service,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud Contracts,Public Cloud Contracts Portfolio,IBM Cloud Enterprise Savings Plan (Annuity Use Only),https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJgrGAAT/view,2023Q4W-2,CA Select - K,2023-12-01,2023,4,12,10,022823 BNP Confirming status to determine next steps To be completed by 030323 President mad at IBM for not renewing contract with TSSRoss Geiger met VP March regarding GTM issues working with Enghouse need resolution to GTM engagment met VP
2128200,0063h00000DJgrIAAT,ENGHOUSE SYSTEMS LIMITED,0.0,0.0,0.0,30000.0,0.0,0.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Design,<1M,Coverage Select,Select Build/Service,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJgrIAAT/view,2023Q4W-2,CA Select - K,2023-12-01,2023,4,12,10,022823 BNP Confirming status to determine next steps Need joint customer cloud account transfer dione sept Kube planned for feb2022SBC now running on OpenSTAck on IBM Cloud next is OpenShift design with HCBT
7602371,0063h00000DJheeAAD,CANADIAN NATURAL RESOURCES,0.0,0.0,0.0,93917.17,0.0,0.0,93917.17,93917.17,33.0,368.0,0.00035514,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,Automation Platform,Technology Business Management,Asset Lifecycle Management,Supply Chain Intelligence Suite Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJheeAAD/view,2023Q4W-1,CA Select - C,2023-11-01,2023,4,11,6,May 11  Looking to revive this opportunity  Internal call set to strategize and reach back out to CNRL on May 24
7602371,0063h00000DJheeAAD,CANADIAN NATURAL RESOURCES,0.0,0.0,0.0,93917.17,0.0,0.0,93917.17,93917.17,418.0,452.0,0.00445951,0.0,0.0,2023-10-07 00:00:00,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,Automation Platform,Technology Business Management,Asset Lifecycle Management,Supply Chain Intelligence Suite Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJheeAAD/view,2023Q4W01,CA Select - C,2023-12-22,2023,4,12,13,Sept 28  Continuing to work with Pat S and Chris S at CNRL  Working to provide intital pricing for a Pilot at a single site  Anticipate getting that to CNRL the first week of October
2105276,0063h00000DL0uMAAT,METROLINX,0.0,0.0,500000.0,500000.0,500000.0,0.0,500000.0,500000.0,6954.0,77721.0,0.01390885,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Automation Platform,Technology Business Management,Asset Lifecycle Management,EIS Service Offering (Expert Labs Only) Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DL0uMAAT/view,2023Q4W-1,CA Select - C,2023-11-17,2023,4,11,8,June 16  Client decision moved to November Officially RFP response still under evaluation confirmed by procurement  Competitive intel is that IBM was not selected for BAFO round and CGI  Accenture were
2153429,0063h00000DL3U8AAL,ENGHOUSE SYSTEMS LIMITED,0.0,0.0,0.0,900000.0,0.0,0.0,900000.0,900000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Design,<1M,Coverage Select,Select Build/Service,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud Contracts,Public Cloud Contracts Portfolio,IBM Cloud Enterprise Savings Plan (Annuity Use Only),https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DL3U8AAL/view,2023Q4W-2,CA Select - K,2023-12-01,2023,4,12,10,02282023 BNP Confirming status to determine next steps SDN links challenges 100 voice line challenge Biz CAse cost weak win DR on Cloud Backup on Cloud iCOS on Cloud then production
233477,0063h00000DMqh4AAD,CAISSE DE DEPOT ET DE,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,72.0,709.0,0.000727,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,Automation Platform,Application Development & Integration,Application Integration,Cloud Pak for Integration,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DMqh4AAD/view,2023Q4W-1,CA Select - C,2023-12-31,2023,4,12,14,
233477,0063h00000DMqh4AAD,CAISSE DE DEPOT ET DE,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,252.0,173.0,0.00252455,0.0,0.0,2023-10-07 00:00:00,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,Automation Platform,Application Development & Integration,Application Integration,Cloud Pak for Integration,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DMqh4AAD/view,2023Q4W01,CA Select - C,2023-12-31,2023,4,12,14,Presentation to be planned for September 2023
