YEAR,QUARTER,MONTH,INDUSTRY,UT30_NAME,PRACTICE,GEOGRAPHY,MARKET,SECTOR,REVENUE_BUDGET_AMT,SIGNINGS_BUDGET_AMT,CLIENT_NAME,UT15_NAME,UT17_NAME,UT20_NAME,GROSS_PROFIT_BUDGET_AMT,PLAN_ID
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,166666.67,ENDEAVOUR ENERGY,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,500000.0,ENDEAVOUR ENERGY,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,666666.67,ENDEAVOUR ENERGY,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,2000000.0,ENDEAVOUR ENERGY,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,550000.25,250000.0,MELBOURNE WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),139276.82,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,825000.25,750000.0,MELBOURNE WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),201776.82,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,825000.25,1000000.0,MELBOURNE WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),201776.82,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,550000.25,500000.0,MELBOURNE WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),139276.82,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,166666.67,ORIGIN ENERGY LIMITED,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,500000.0,ORIGIN ENERGY LIMITED,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,666666.67,ORIGIN ENERGY LIMITED,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,2000000.0,ORIGIN ENERGY LIMITED,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,550000.25,250000.0,SOUTH AUSTRALIAN WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),139276.82,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,825000.25,750000.0,SOUTH AUSTRALIAN WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),201776.82,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,825000.25,1000000.0,SOUTH AUSTRALIAN WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),201776.82,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,550000.25,500000.0,SOUTH AUSTRALIAN WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),139276.82,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,166666.67,SYDNEY WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,500000.0,SYDNEY WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,666666.67,SYDNEY WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,2000000.0,SYDNEY WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,2443162.25,0.0,TELSTRA GROUP LIMITED,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),520393.56,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,2321747.3,12000000.0,TELSTRA GROUP LIMITED,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),494532.17,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,2499527.51,2000000.0,TELSTRA GROUP LIMITED,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),532399.36,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,2784797.29,1000000.0,TELSTRA GROUP LIMITED,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),593161.82,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,166666.67,TRANSGRID,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,500000.0,TRANSGRID,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,666666.67,TRANSGRID,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,2000000.0,TRANSGRID,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,550000.25,250000.0,UNITED ENERGY DISTRIBUTION HOLDINGS PTY LTD.,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),139276.82,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,825000.25,750000.0,UNITED ENERGY DISTRIBUTION HOLDINGS PTY LTD.,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),201776.82,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,825000.25,1000000.0,UNITED ENERGY DISTRIBUTION HOLDINGS PTY LTD.,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),201776.82,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,550000.25,500000.0,UNITED ENERGY DISTRIBUTION HOLDINGS PTY LTD.,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),139276.82,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,2600000.0,1400000.0,WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),390000.0,BUDCL
