YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,COUNTRY,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,DEAL_SIZE,SIGNINGS,SIGNINGS_PY,SIGNINGS_PPY,BRANCH
2025,2,8,EMEA,UKI Market,United Kingdom,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,13949.0,,,
2025,2,10,APAC,Australia/New Zealand Market,Australia,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,1,8,EMEA,France Market,France,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,85507.0,,,
2025,1,4,EMEA,Middle East/Africa Market,South Africa,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,1,12,EMEA,UKI Market,Ireland,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,2,5,APAC,Australia/New Zealand Market,Australia,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,78118.0,,,
2025,1,5,EMEA,"Northern, Central and Eastern Europe Market",Norway,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,2,11,APAC,Korea Market,Korea,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,20247.0,,,
2025,1,10,EMEA,DACH Market,Germany,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,33800.0,,,
2025,2,3,Americas,Latin America Market,Peru,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,12839.0,,,
2025,2,10,APAC,ASEAN Market,Philippines,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,2654.0,,,
2025,2,6,EMEA,DACH Market,Germany,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,50711.0,,,
2025,1,4,EMEA,Middle East/Africa Market,UAE - United Arab Emirates,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,2,5,EMEA,"Northern, Central and Eastern Europe Market",Slovakia,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,495000.0,,,
2025,2,5,EMEA,UKI Market,Ireland,Automation Platform,Infrastructure Automation,Network Management,Network Automation Top (AUO),Unassigned,9500.0,,,
2025,1,7,APAC,Australia/New Zealand Market,Australia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,2,7,Japan,Japan Market,Japan,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,-18388.0,,,
2025,2,6,APAC,ASEAN Market,Malaysia,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,173679.0,,,
2025,2,3,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,103434.0,,,
2025,1,11,EMEA,Italy Market,Italy,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,1,9,Americas,Latin America Market,Mexico,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,4,Americas,Latin America Market,Mexico,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,21343.0,,,
2025,1,12,EMEA,Middle East/Africa Market,Turkiye Sub,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,4,EMEA,"Northern, Central and Eastern Europe Market",Czech Republic,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,7,APAC,India/South Asia Market,India PTE Ltd,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,60715.0,,,
2025,1,13,Americas,Latin America Market,Ecuador,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,2,12,Americas,Latin America Market,Mexico,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,12,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,11,APAC,Greater China Group Market,Hong Kong,Automation Platform,Infrastructure Automation,Network Management,Network Automation Top (AUO),Unassigned,0.0,,,
2025,2,11,APAC,India/South Asia Market,India PTE Ltd,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,288284.0,,,
2025,1,9,EMEA,Middle East/Africa Market,United Arab Emirates,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,2,10,EMEA,UKI Market,United Kingdom,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,0.0,,,
2025,2,7,APAC,Greater China Group Market,China,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,10508.0,,,
2025,1,7,APAC,Australia/New Zealand Market,Australia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,-23870.0,,,
2025,2,10,EMEA,"Northern, Central and Eastern Europe Market",Norway,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,0.0,,,
2025,1,6,EMEA,DACH Market,Germany,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,103508.0,,,
2025,2,6,EMEA,SPGI Market,Greece,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,-15945.0,,,
2025,2,9,APAC,ASEAN Market,Thailand,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,-5084.0,,,
2025,1,12,EMEA,DACH Market,Germany,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,61.0,,,
2025,1,8,APAC,India/South Asia Market,India PTE Ltd,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,-1.0,,,
2025,1,10,EMEA,Middle East/Africa Market,Turkiye Sub,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,10,EMEA,France Market,France,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,2,11,EMEA,"Northern, Central and Eastern Europe Market",Belgium,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,17730.0,,,
2025,2,11,Japan,Japan Market,Japan,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,19733.0,,,
2025,1,11,Americas,US Top Market,United States of America,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,-2315.0,,,
2025,1,7,EMEA,SPGI Market,Spain,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,7,Americas,Latin America Market,Chile,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,9,EMEA,SPGI Market,Israel (SEMEA Sub),Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,430893.0,,,
2025,1,6,Americas,US Top Market,United States of America,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,27600.0,,,
2025,1,11,EMEA,"Northern, Central and Eastern Europe Market",Czech Republic,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,1,11,Americas,Latin America Market,Mexico,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,0.0,,,
2025,1,13,EMEA,Middle East/Africa Market,UAE - United Arab Emirates,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,11,APAC,India/South Asia Market,Sri Lanka,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,10,EMEA,"Northern, Central and Eastern Europe Market",Belgium,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,0.0,,,
2025,1,5,APAC,Korea Market,Korea,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,1,9,EMEA,Middle East/Africa Market,South Africa,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,1,9,EMEA,UKI Market,United Kingdom,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,<10M,0.0,,,
2025,1,13,EMEA,"Northern, Central and Eastern Europe Market",Poland,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,2.0,,,
2025,1,10,Americas,Latin America Market,Mexico,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,91.0,,,
2025,1,11,Americas,Latin America Market,Argentina,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,12,Japan,Japan Market,Japan,Automation Platform,Infrastructure Automation,Network Management,Network Automation Top (AUO),Unassigned,0.0,,,
2025,1,6,APAC,Korea Market,Korea,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,8,Americas,US Top Market,United States of America,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,>=10M,0.0,,,
2025,1,12,Americas,Latin America Market,Brazil,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,0.0,,,
2025,1,4,EMEA,UKI Market,Ireland,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,10,Japan,Japan Market,Japan,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,42857.0,,,
2025,1,7,EMEA,UKI Market,United Kingdom,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,10,EMEA,DACH Market,Germany,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,9,Americas,Latin America Market,Peru,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,4,EMEA,Italy Market,Italy,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,11300.0,,,
2025,2,11,Americas,Canadian Market,Canada,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,5,EMEA,UKI Market,United Kingdom,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,-1.0,,,
2025,2,4,EMEA,DACH Market,Austria,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,47.0,,,
2025,2,8,EMEA,"Northern, Central and Eastern Europe Market",Belgium,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,-65395.0,,,
2025,2,12,EMEA,"Northern, Central and Eastern Europe Market",Belgium,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,11500.0,,,
2025,1,9,APAC,India/South Asia Market,India PTE Ltd,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,6577.0,,,
2025,2,3,EMEA,"Northern, Central and Eastern Europe Market",Belgium,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,1,3,Americas,Canadian Market,Canada,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,1.0,,,
2025,1,9,EMEA,Middle East/Africa Market,Turkiye Sub,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,2,11,EMEA,DACH Market,Germany,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,-75344.0,,,
2025,2,10,APAC,Australia/New Zealand Market,New Zealand,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,1,12,Americas,US Top Market,United States of America,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,152771.0,,,
2025,1,12,APAC,India/South Asia Market,India PTE Ltd,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,0.0,,,
2025,1,6,EMEA,DACH Market,Austria,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,0.0,,,
2025,1,10,EMEA,UKI Market,United Kingdom,Automation Platform,Technology Business Management,Asset Lifecycle Management,Environmental Intelligence,Unassigned,0.0,,,
2025,1,13,EMEA,"Northern, Central and Eastern Europe Market",Slovenia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,2,11,EMEA,UKI Market,United Kingdom,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,0.0,,,
2025,2,10,EMEA,DACH Market,Germany,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,25253.0,,,
2025,1,5,APAC,ASEAN Market,Philippines,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,520020.0,,,
2025,1,10,EMEA,UKI Market,Ireland,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,0.0,,,
2025,1,7,EMEA,DACH Market,Germany,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,88034.0,,,
2025,1,11,APAC,Australia/New Zealand Market,New Zealand,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,1,10,EMEA,Italy Market,Italy,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,0.0,,,
2025,1,10,APAC,Australia/New Zealand Market,New Zealand,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,11,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,5,Americas,Canadian Market,Trinidad,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,2,6,Americas,Latin America Market,Brazil,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,163100.0,,,
2025,2,3,APAC,Greater China Group Market,Hong Kong,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,61834.0,,,
2025,2,10,EMEA,"Northern, Central and Eastern Europe Market",Czech Republic,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,1,8,EMEA,Middle East/Africa Market,Morocco,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,2,10,Americas,Canadian Market,Canada,Public Cloud Platform,Public Cloud IaaS,Cloud Native IaaS,Cloud Object Storage,<10M,9.0,,,
2025,1,11,EMEA,Middle East/Africa Market,Turkiye Sub,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,11,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,1,13,Americas,Latin America Market,Uruguay,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,<10M,0.0,,,
2025,2,8,APAC,Greater China Group Market,China,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,228367.0,,,
2025,1,12,EMEA,France Market,France,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,1,12,APAC,India/South Asia Market,India PTE Ltd,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,126393.0,,,
2025,2,9,EMEA,Middle East/Africa Market,South Africa,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,1,13,EMEA,UKI Market,United Kingdom,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,0.0,,,
2025,1,8,APAC,Greater China Group Market,Hong Kong,Automation Platform,Infrastructure Automation,Network Management,Network Automation Top (AUO),Unassigned,0.0,,,
2025,2,12,EMEA,UKI Market,United Kingdom,Public Cloud Platform,Public Cloud IaaS,Cloud Native IaaS,Cloud Object Storage,<10M,-1.0,,,
2025,1,7,Japan,Japan Market,Japan,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,1,6,EMEA,UKI Market,Ireland,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,0.0,,,
2025,2,10,Americas,Latin America Market,Argentina,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,182713.0,,,
2025,2,10,Americas,Latin America Market,Chile,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,0.0,,,
2025,1,10,EMEA,DACH Market,Germany,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,18624.0,,,
2025,1,12,EMEA,DACH Market,Austria,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,-7838.0,,,
2025,1,7,EMEA,Middle East/Africa Market,Turkiye Sub,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,4860.0,,,
2025,1,11,EMEA,"Northern, Central and Eastern Europe Market",Luxembourg,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,0.0,,,
2025,1,5,EMEA,Middle East/Africa Market,Nigeria,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,1,11,EMEA,UKI Market,United Kingdom,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,2,9,Americas,Latin America Market,Brazil,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,113077.0,,,
2025,1,1,Japan,Japan Market,Japan,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,0.0,,,
2025,1,3,Americas,Latin America Market,Ecuador,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,2,4,Americas,Latin America Market,Mexico,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,1,13,EMEA,DACH Market,Germany,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,7259940.0,,,
2025,1,13,EMEA,"Northern, Central and Eastern Europe Market",Sweden,Automation Platform,Technology Business Management,Asset Lifecycle Management,Environmental Intelligence,Unassigned,0.0,,,
2025,2,10,EMEA,Middle East/Africa Market,Saudi Arabia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,2,7,Americas,Latin America Market,Ecuador,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,2,9,APAC,Australia/New Zealand Market,New Zealand,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,1,12,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,1,6,Japan,Japan Market,Japan,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,28571.0,,,
2025,1,4,EMEA,"Northern, Central and Eastern Europe Market",Finland,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,12353.0,,,
2025,1,8,Americas,Latin America Market,Brazil,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,3312.0,,,
2025,1,10,APAC,Greater China Group Market,Taiwan,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,2,8,EMEA,UKI Market,United Kingdom,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,214053.0,,,
2025,1,8,EMEA,UKI Market,United Kingdom,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,0.0,,,
2025,1,12,Americas,Latin America Market,Chile,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,2,5,EMEA,DACH Market,Austria,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,1,7,APAC,ASEAN Market,Malaysia,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,2,4,APAC,Australia/New Zealand Market,Australia,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,-2.0,,,
2025,2,8,Americas,Latin America Market,Ecuador,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,8,EMEA,SPGI Market,Greece,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,4,EMEA,"Northern, Central and Eastern Europe Market",Estonia,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,10,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,11,EMEA,"Northern, Central and Eastern Europe Market",Poland,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,2,11,EMEA,"Northern, Central and Eastern Europe Market",Belgium,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,800.0,,,
2025,1,8,Americas,Latin America Market,Chile,Automation Platform,Infrastructure Automation,Network Management,Network Automation Top (AUO),Unassigned,0.0,,,
2025,1,12,EMEA,France Market,France,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,2,4,Americas,Latin America Market,Uruguay,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,13,EMEA,DACH Market,Germany,Red Hat,Red Hat Top Market (AUO),Red Hat Top Portfolio (AUO),Red Hat Top (AUO),Unassigned,709.0,,,
2025,2,3,Americas,US Top Market,United States of America,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,0.0,,,
2025,1,7,APAC,India/South Asia Market,India PTE Ltd,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,4,APAC,India/South Asia Market,Sri Lanka,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,12,EMEA,Italy Market,Italy,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,2,9,EMEA,Italy Market,Italy,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,22617.0,,,
2025,1,8,EMEA,"Northern, Central and Eastern Europe Market",Luxembourg,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,6,EMEA,DACH Market,Germany,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,1220.0,,,
2025,2,6,APAC,Australia/New Zealand Market,Australia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,10335.0,,,
2025,2,6,EMEA,SPGI Market,Israel (SEMEA Sub),Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,20564.0,,,
2025,2,9,Americas,Canadian Market,Canada,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,2933.0,,,
2025,2,8,EMEA,SPGI Market,Spain,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,19386.0,,,
