YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,COUNTRY,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,DEAL_SIZE,SIGNINGS,SIGNINGS_PY,SIGNINGS_PPY,BRANCH
2025,1,11,EMEA,Middle East/Africa Market,Saudi Arabia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,1,8,Americas,US Top Market,United States of America,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,2734895.0,,,
2025,1,5,Americas,Canadian Market,Canada,Automation Platform,Infrastructure Automation,Network Management,Network Automation Top (AUO),Unassigned,0.0,,,
2025,2,6,EMEA,"Northern, Central and Eastern Europe Market",Luxembourg,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,6,EMEA,UKI Market,United Kingdom,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,8,EMEA,UKI Market,United Kingdom,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,458180.0,,,
2025,1,4,Americas,Canadian Market,Curacao,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,13,APAC,India/South Asia Market,India PTE Ltd,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,421692.0,,,
2025,1,4,EMEA,SPGI Market,Cyprus,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,31500.0,,,
2025,1,6,Americas,Latin America Market,Ecuador,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,5,Japan,Japan Market,Japan,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,415714.0,,,
2025,2,1,Japan,Japan Market,Japan,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,0.0,,,
2025,1,11,Americas,Latin America Market,Argentina,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,75334.0,,,
2025,1,11,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,1,6,APAC,India/South Asia Market,India PTE Ltd,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,2,11,Americas,Latin America Market,Ecuador,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,0.0,,,
2025,1,10,APAC,ASEAN Market,Singapore,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,19577.0,,,
2025,1,6,Americas,Canadian Market,Bahamas,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,12405.0,,,
2025,1,11,EMEA,"Northern, Central and Eastern Europe Market",Belgium,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,0.0,,,
2025,1,11,APAC,Australia/New Zealand Market,Australia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,31217.0,,,
2025,1,13,EMEA,Italy Market,Italy,Automation Platform,Infrastructure Automation,Network Management,Network Automation Top (AUO),Unassigned,710216.0,,,
2025,1,13,EMEA,Italy Market,Italy,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,-32560.0,,,
2025,1,4,Americas,Canadian Market,Canada,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,-1.0,,,
2025,2,12,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,90090.0,,,
2025,1,13,EMEA,Middle East/Africa Market,Egypt,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
